epoch,train_loss,train_acc,val_loss,val_acc,seed,model,experiment
0,0.6988087115611371,0.5036411651728553,0.6956022617340087,0.5096,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
1,0.6967594067204776,0.49983994878361077,0.698545913696289,0.4968,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
2,0.6975493399800778,0.5010803457106274,0.6999500690460205,0.5008,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
3,0.6963387852899549,0.5004801536491678,0.695944810295105,0.4996,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
4,0.6941675576601993,0.5003801216389244,0.6940049434661866,0.503,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
5,0.6924477311163645,0.5165452944942381,0.6857618967056275,0.5542,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
6,0.6796989352388663,0.5681017925736236,0.6606645366668701,0.6058,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
7,0.6221645416050348,0.6530489756722151,0.5769334255218506,0.7002,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
8,0.5606083348298042,0.7124479833546735,0.5479374954223633,0.7228,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
9,0.5353656680193204,0.7330345710627401,0.5165159209251404,0.7476,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
10,0.5161616033308026,0.7455985915492958,0.5046562294960022,0.7496,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
11,0.5026608155646795,0.7574823943661971,0.5003365333557129,0.7502,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
12,0.48985071447838896,0.7647647247119078,0.4847789807319641,0.7676,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
13,0.48186180201596396,0.7679857554417413,0.49025359482765196,0.7594,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
14,0.4791384982314824,0.7718669974391805,0.4749664083480835,0.772,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
15,0.4731582743562901,0.7742677656850192,0.4796212388515472,0.7718,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
16,0.46856589575277857,0.7764684699103713,0.4607508663654327,0.7804,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
17,0.4648173097306421,0.78020966709347,0.4581643051147461,0.7842,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
18,0.4629950690895281,0.7812299935979513,0.46690345487594603,0.7764,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
19,0.46141248918526,0.7822703265044815,0.4523226214408875,0.786,0,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
0,0.6974763328378851,0.5042213508322664,0.6982234436035156,0.487,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
1,0.6963478392431282,0.5034811139564661,0.7013721213340759,0.4884,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
2,0.69730438549601,0.49965989116517284,0.6979166474342346,0.5082,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
3,0.6964059364475148,0.49939980793854033,0.694659677696228,0.5052,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
4,0.6943448739992061,0.5020606594110115,0.6942743391036987,0.4984,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
5,0.6937808988188965,0.5033010563380281,0.6940360500335694,0.5,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
6,0.692760679770676,0.5151648527528809,0.6879540178298951,0.5394,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
7,0.6848865869561169,0.555937900128041,0.6780725610733033,0.5704,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
8,0.6665240203372648,0.5916693341869398,0.6347648656845093,0.6374,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
9,0.5977434712091267,0.6770566581306018,0.5549364664077758,0.7154,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
10,0.5453060410544753,0.7243117797695262,0.5166963478088379,0.749,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
11,0.5184078373386979,0.7435979513444302,0.5029242796897888,0.759,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
12,0.5010955456200696,0.7550416133162612,0.4813646348953247,0.7642,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
13,0.4905853715657272,0.762544014084507,0.48435662879943847,0.76,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
14,0.48043757142849675,0.7698463508322664,0.4884890210151672,0.7612,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
15,0.47419952968476525,0.7721070742637645,0.4761409061431885,0.7732,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
16,0.47053290508620715,0.7764284571062741,0.4830161292076111,0.7692,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
17,0.4668425598233061,0.7777488796414853,0.46240254735946656,0.7802,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
18,0.4684057879463201,0.7790693021766966,0.45925728302001956,0.7806,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
19,0.4634509836818436,0.779509443021767,0.4589659775733948,0.7812,1,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
0,0.698505154874047,0.49903969270166454,0.6948011693000793,0.5084,2,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
1,0.6959814330069265,0.5040412932138284,0.6957266191482544,0.4974,2,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
2,0.6972111128509121,0.4996398847631242,0.6974512887954711,0.4986,2,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
3,0.6957713776910809,0.5021606914212549,0.6953065118789673,0.496,2,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
4,0.6941518841571295,0.5038012163892446,0.697362937259674,0.4992,2,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
5,0.6941339753654031,0.4987395966709347,0.695501934337616,0.4964,2,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
6,0.6939477408435982,0.5002400768245838,0.693300232887268,0.4916,2,ICLTransformerFrozenPos,task_A_ablation_frozen_pos
