epoch,train_loss,train_acc,val_loss,val_acc,seed,model,experiment
0,0.6974641653242856,0.49815941101152367,0.6940438391685486,0.515,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
1,0.6961445274945258,0.5001800576184379,0.6975179540634155,0.5004,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
2,0.6971518530125197,0.4994998399487836,0.6962326781272888,0.4892,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
3,0.6957583347294913,0.49965989116517284,0.6950104804039001,0.4922,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
4,0.6942017737027167,0.4966989436619718,0.6937447414398193,0.4952,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
5,0.6939222882865486,0.5000800256081946,0.6932258306503296,0.5026,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
6,0.6937958549293147,0.49917973751600514,0.6930665765762329,0.5086,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
7,0.6935661814429543,0.5019006081946222,0.6932872383117675,0.4966,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
8,0.6937322376174292,0.4993397887323944,0.6931317291259765,0.5,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
9,0.6935887253543936,0.49789932778489115,0.6931131210327148,0.5072,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
10,0.6934289992542486,0.5001400448143406,0.6929269536972046,0.5116,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
11,0.6934482885689192,0.5000400128040973,0.6931796831130982,0.4936,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
12,0.6932605460724971,0.5039612676056338,0.6933103733062744,0.4962,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
13,0.6931525268872172,0.5046214788732394,0.6933299364089965,0.4994,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
14,0.6932106757591384,0.5028809218950064,0.6926636541366578,0.5172,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
15,0.6932207076558689,0.5009202944942381,0.693135314655304,0.503,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
16,0.6931912409816601,0.49857954545454547,0.6931535488128662,0.4986,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
17,0.6931573708139828,0.5020206466069143,0.6931256088256836,0.4956,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
18,0.6931627975078002,0.49993998079385404,0.6931675619125366,0.4918,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
19,0.6931558452098227,0.4969590268886043,0.6931561716079712,0.5042,0,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
0,0.698306114817093,0.5013004161331626,0.6973333414077759,0.484,1,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
1,0.6962280194066398,0.5018205825864277,0.7002492040634155,0.4916,1,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
2,0.6971403989993351,0.5030009603072984,0.6982399502754212,0.508,1,ICLTransformerInterleavedEmbeddings,task_A_ablation_interleaved
