epoch,train_loss,train_acc,val_loss,val_acc,seed,model,experiment
0,0.6988280012573994,0.5036411651728553,0.6956023042678833,0.5098,0,ICLTransformerNoPos,task_A_ablation_no_pos
1,0.6967603671871287,0.5,0.6985508997917176,0.4972,0,ICLTransformerNoPos,task_A_ablation_no_pos
2,0.6975497479017504,0.50104033290653,0.6999401608467102,0.5012,0,ICLTransformerNoPos,task_A_ablation_no_pos
3,0.6963266125867065,0.5006402048655569,0.6958930486679077,0.5016,0,ICLTransformerNoPos,task_A_ablation_no_pos
4,0.6941547124394992,0.5003000960307298,0.6939699853897094,0.5028,0,ICLTransformerNoPos,task_A_ablation_no_pos
5,0.6924742651046772,0.5167053457106274,0.6857774295806884,0.553,0,ICLTransformerNoPos,task_A_ablation_no_pos
6,0.6797476542133375,0.5690420934699104,0.65682818775177,0.6108,0,ICLTransformerNoPos,task_A_ablation_no_pos
7,0.6225784247724409,0.6525688220230473,0.5721460983276367,0.7072,0,ICLTransformerNoPos,task_A_ablation_no_pos
8,0.5620235958340531,0.7112075864276568,0.5500441812515259,0.72,0,ICLTransformerNoPos,task_A_ablation_no_pos
9,0.5370056418923806,0.7329545454545454,0.5159237082481384,0.744,0,ICLTransformerNoPos,task_A_ablation_no_pos
10,0.517450335427222,0.7435979513444302,0.505010458278656,0.7526,0,ICLTransformerNoPos,task_A_ablation_no_pos
11,0.503708335410007,0.7561019526248399,0.5011881979942322,0.7504,0,ICLTransformerNoPos,task_A_ablation_no_pos
12,0.4914090119769723,0.7633642765685019,0.4860321180343628,0.7654,0,ICLTransformerNoPos,task_A_ablation_no_pos
13,0.48255474016394717,0.7665052816901409,0.4900496081352234,0.7596,0,ICLTransformerNoPos,task_A_ablation_no_pos
14,0.4804345451762826,0.7706065941101152,0.47714332828521727,0.7732,0,ICLTransformerNoPos,task_A_ablation_no_pos
15,0.47368424695829425,0.7736475672215108,0.48140264949798584,0.7704,0,ICLTransformerNoPos,task_A_ablation_no_pos
16,0.4695580054489507,0.7766285211267606,0.4616881609916687,0.782,0,ICLTransformerNoPos,task_A_ablation_no_pos
17,0.46576057303882895,0.7790893085787451,0.45952650270462037,0.784,0,ICLTransformerNoPos,task_A_ablation_no_pos
18,0.46406921015506214,0.7798695582586428,0.470009335231781,0.776,0,ICLTransformerNoPos,task_A_ablation_no_pos
19,0.46234827855942956,0.7814500640204866,0.45385261821746825,0.787,0,ICLTransformerNoPos,task_A_ablation_no_pos
0,0.6974828882803532,0.504241357234315,0.6982218891143799,0.4872,1,ICLTransformerNoPos,task_A_ablation_no_pos
1,0.6963476703505815,0.5033410691421255,0.7013518878936768,0.4886,1,ICLTransformerNoPos,task_A_ablation_no_pos
2,0.697300161884933,0.49993998079385404,0.6979223556518555,0.5086,1,ICLTransformerNoPos,task_A_ablation_no_pos
3,0.6963953397185488,0.499479833546735,0.6946698017120362,0.5054,1,ICLTransformerNoPos,task_A_ablation_no_pos
4,0.6943535923042005,0.502320742637644,0.6942941876411438,0.4982,1,ICLTransformerNoPos,task_A_ablation_no_pos
5,0.6937940107722899,0.5035011203585147,0.6940837024688721,0.5,1,ICLTransformerNoPos,task_A_ablation_no_pos
6,0.6927018283881848,0.5149047695262484,0.688043275642395,0.542,1,ICLTransformerNoPos,task_A_ablation_no_pos
7,0.6848629958803614,0.5559579065300896,0.6768983156204224,0.5776,1,ICLTransformerNoPos,task_A_ablation_no_pos
8,0.6671129991699883,0.5889684699103713,0.6394359105110169,0.632,1,ICLTransformerNoPos,task_A_ablation_no_pos
9,0.5960587405059463,0.6766565300896287,0.5530038544654846,0.71,1,ICLTransformerNoPos,task_A_ablation_no_pos
