epoch,train_loss,train_acc,val_loss,val_acc,seed,model,experiment
0,0.6988075388531069,0.5032810499359796,0.6956072789192199,0.5094,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
1,0.6967626768861934,0.5000200064020487,0.698556330871582,0.4968,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
2,0.6975495572584692,0.501100352112676,0.6999360922813416,0.5008,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
3,0.6963312365639378,0.5003401088348272,0.6959051657676697,0.5006,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
4,0.6941682389542632,0.5003201024327785,0.6939972499847412,0.5024,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
5,0.6925443264342148,0.516205185659411,0.6858221217155457,0.5532,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
6,0.6802638668409535,0.566681338028169,0.6599280324935913,0.6106,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
7,0.6260178243686539,0.6490076824583867,0.5788236432075501,0.694,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
8,0.564233394881064,0.7081466069142125,0.5462597950935364,0.7194,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
9,0.5388897259012533,0.7287732074263764,0.5191269318580627,0.7446,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
10,0.5182930682517503,0.7434779129321383,0.5051055423736572,0.7498,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
11,0.5046139194626509,0.7552016645326505,0.5028010960578918,0.748,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
12,0.4918170585064516,0.762023847631242,0.4861098931312561,0.7648,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
13,0.48325740741553896,0.7664452624839949,0.4902845820903778,0.7588,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
14,0.48072958965612894,0.7711667733674776,0.4774996124267578,0.7722,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
15,0.47451089681263314,0.773407490396927,0.48329781789779663,0.7676,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
16,0.46961114008967,0.7765284891165173,0.4632142050743103,0.7804,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
17,0.46603806715616036,0.7794894366197183,0.45822138557434083,0.7842,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
18,0.4645120142440332,0.7804297375160051,0.46901877536773684,0.776,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
19,0.46286152652375373,0.7817301536491678,0.45487742748260496,0.785,0,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
0,0.6974783093309586,0.5041013124199744,0.6982230638504028,0.4878,1,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
1,0.6963504816139553,0.5034210947503202,0.701369229888916,0.4886,1,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
2,0.6973035023398649,0.49979993597951344,0.6979305139541626,0.5086,1,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
3,0.6963934786951649,0.49943982074263765,0.6946455442428588,0.5052,1,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
4,0.6943401061618526,0.5022407170294494,0.6942614430427552,0.4982,1,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
5,0.6937880935040082,0.503080985915493,0.6940551178932189,0.5,1,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
6,0.6929196547454511,0.5139844750320103,0.6884262029647827,0.539,1,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
7,0.6855833989099412,0.553617157490397,0.6791832578659057,0.5736,1,ICLTransformerShuffledContext,task_A_ablation_shuffled_context
